movie_id,title,subtitle,year,rating,star_count,comment_count,comment,poster,user_avatar,user_name,rank
26852460,银魂 爱染香篇 前篇,2016 / 日本 / 喜剧 动作 科幻 动画 / 杉田智和 阪口大助,2016,9.0,4.5,3222,好的，银月锁死,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2579934749.jpg,https://img9.doubanio.com/icon/up157548945-6.jpg,WilliamOsborne,
35068855,史前战纪：野蛮故事,2020 / 美国 / 动作 动画 冒险 / 格恩迪·塔塔科夫斯基 / Aaron LaPlante Jon Olson,2020,9.0,4.5,724,猿爸和龙妈最浪漫史前爱情故事，前四集的汇总,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2603465818.jpg,https://img1.doubanio.com/icon/up37477138-9.jpg,祖萌无双,
26860016,守望先锋：新生,2016 / 美国 / 动作 科幻 动画 短片 / Jeramiah Johnson / 卡拉·西奥博尔德 Chloe Hollings,2016,9.0,4.5,2778,猎空和黑百合的声音真性感，完全是一对cp啊！,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2417863958.jpg,https://img3.doubanio.com/icon/up99024523-3.jpg,平凡与梦想,
5187955,少年骇客：变身之谜,2007 / 美国 / 动作 科幻 动画 冒险 / Greg Klein / 塔拉·斯特朗 梅根·史密斯,2007,9.0,4.5,2047,怎么会有这么酷的动画片啊！！！！,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2320482809.jpg,https://img9.doubanio.com/icon/up151575511-6.jpg,Zayn,
3228421,鲁邦三世Episode：0 初次交锋,2002 / 日本 / 喜剧 动作 动画 悬疑 犯罪 / 大原实 / 栗田贯一 小林清志,2002,9.0,4.5,1840,这么好看的动画片要是跟我一个时代就好了,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2522070272.jpg,https://img2.doubanio.com/icon/up62927689-1.jpg,陈豆瓣,
5041028,赛文奥特曼 空中飞舞的大铁块,1999 / 日本 / 剧情 动作 科幻 / 神澤信一 満留浩昌 / 南条弘二 山崎勝之,1999,9.0,4.5,1664,大铁块！记忆最深的一集ov,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2620177460.jpg,https://img3.doubanio.com/icon/up182934317-22.jpg,1,
5041030,赛文奥特曼 仿制的男人,1999 / 日本 / 剧情 动作 科幻 / 高野敏幸 満留浩昌 / 南条弘二 山崎勝之,1999,9.0,4.5,1600,这哪是给孩子看的奥特曼。,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2509214962.jpg,https://img9.doubanio.com/icon/up48112768-4.jpg,INsomnia,
1291543,功夫,2004 / 中国大陆 中国香港 / 喜剧 动作 犯罪 奇幻 / 周星驰 / 周星驰 元秋,2004,8.9,4.5,1331852,再都不可能出现比它牛B的功夫电影了,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2219011938.jpg,https://img1.doubanio.com/icon/up1775727-80.jpg,郁程,71
1300299,杀人回忆,2003 / 韩国 / 剧情 动作 悬疑 惊悚 犯罪 / 奉俊昊 / 宋康昊 金相庆,2003,8.9,4.5,835442,嗨凶手，你也在看这部片吗？送给你的，杀人回忆,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1633113220.jpg,https://img3.doubanio.com/icon/up1125289-57.jpg,狮子人,92
3395373,蝙蝠侠：黑暗骑士崛起,2012 / 美国 英国 / 剧情 动作 科幻 惊悚 犯罪 / 克里斯托弗·诺兰 / 克里斯蒂安·贝尔 汤姆·哈迪,2012,8.9,4.5,813441,"超过TDK不敢说,但永垂影史是扛扛的.",/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1706428744.jpg,https://img3.doubanio.com/icon/up39058983-2.jpg,无殇,106
1578507,谍影重重3,2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚 / 保罗·格林格拉斯 / 马特·达蒙 朱丽娅·斯蒂尔斯,2007,8.9,4.5,471282,紧凑、凌厉，史上最佳间谍动作片。,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p792223507.jpg,https://img1.doubanio.com/icon/up1411454-189.jpg,苇间疯,172
1294639,勇敢的心,1995 / 美国 / 剧情 动作 传记 历史 战争 / 梅尔·吉布森 / 梅尔·吉布森 苏菲·玛索,1995,8.9,4.5,605514,一句“freedom”煽的我眼泪哗哗的,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2004174709.jpg,https://img9.doubanio.com/icon/up1078855-5.jpg,老阿飞—故园,123
1296196,乱,1985 / 日本 法国 / 剧情 动作 / 黑泽明 / 仲代达矢 寺尾聪,1985,8.9,4.5,120520,同是史片，為何黑泽明就能拍得如此詩意如此智惠？,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2556724149.jpg,https://img3.doubanio.com/icon/up1397515-87.jpg,Griet,2
35651911,鬼灭之刃：鼓屋敷篇,2021 / 日本 / 动作 动画 冒险 / 外崎春雄 / 花江夏树 鬼头明里,2021,8.9,4.5,16049,好一个安塞腰鼓,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2727626416.jpg,https://img3.doubanio.com/icon/up186008239-3.jpg,吴辽,10
11443810,蝙蝠侠：黑暗骑士归来(下),2013 / 美国 / 动作 动画 / 杰伊·欧力瓦 / 彼得·威勒 阿芮尔·温特,2013,8.9,4.5,31443,蝙蝠侠老了、却成了乔装达人,/proxy/img?url=https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2432294601.jpg,https://img2.doubanio.com/icon/up1043499-101.jpg,Kaito,
2049705,梦比优斯奥特曼和奥特兄弟,2006 / 日本 / 动作 科幻 奇幻 / 小中和哉 / 五十岚隼士 黑部进,2006,8.9,4.5,9318,一个不落的民族必定有其坚定的信仰,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2168899397.jpg,https://img9.doubanio.com/icon/up44812364-4.jpg,Waverim,
1859322,奈克斯特·奥特曼,2004 / 日本 / 剧情 动作 科幻 奇幻 / 小中和哉 / 别所哲也 远山景织子,2004,8.9,4.5,8072,看完之后，越发觉得奈克瑟斯可惜了。,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1882452118.jpg,https://img3.doubanio.com/icon/up50329989-2.jpg,ruii,
1870128,攻壳机动队SSS,2006 / 日本 / 动作 科幻 动画 / 神山健治 / 田中敦子 大塚明夫,2006,8.9,4.5,16018,更喜欢神山健治的，比较低俗,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2552602870.jpg,https://img3.doubanio.com/icon/up1176768-42.jpg,my,
1767005,机动战士高达 剧场版Ⅲ 相逢在宇宙,1982 / 日本 / 剧情 动作 科幻 动画 / 富野由悠季 藤原良二 / 古谷彻 池田秀一,1982,8.9,4.5,3075,星战的影响还是很深的,/proxy/img?url=https://img2.doubanio.com/view/photo/m_ratio_poster/public/p456714561.jpg,https://img2.doubanio.com/icon/up1043499-101.jpg,Kaito,
26852464,银魂 爱染香篇 后篇,2016 / 日本 / 喜剧 动作 科幻 动画 短片 / 杉田智和 甲斐田裕子,2016,8.9,4.5,3033,"原来官配是银月吗(･ัω･ั)
",/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2579933085.jpg,https://img3.doubanio.com/icon/up3249351-147.jpg,Kei,
3306095,鲁邦三世：宝物返还大作战,2003 / 日本 / 喜剧 动作 动画 犯罪 冒险 / 川越淳 / 栗田贯一 小林清志,2003,8.9,4.5,1271,我想到世纪末的魔术师诶。,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2528236430.jpg,https://img1.doubanio.com/icon/up1402032-388.jpg,kiki,
35938119,新生代The Live 特利迦篇 Stage4 我们绽放的花朵,2022 / 日本 / 剧情 动作 / 寺坂赖我 平野宏周,2022,8.9,4.5,417,没看过这部和特别篇，不算看过特利迦。,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2874955496.jpg,https://img3.doubanio.com/icon/up198889858-3.jpg,蘑菇头,
5170018,阿达纳里 第一季,2008 / 土耳其 / 剧情 喜剧 动作 爱情 家庭 犯罪 / Tayfun Güneyer / 奥克塔伊·卡伊纳尔贾 穆罕穆德.阿基夫.阿拉库尔德,2008,8.9,4.5,257,最喜欢的土剧,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2167747760.jpg,https://img3.doubanio.com/icon/up261263280-2.jpg,ErlingHlP,
1652587,阿凡达,2009 / 美国 / 动作 科幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜,2009,8.8,4.5,1582573,钉子户 大战 城管 in 3D,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2180085848.jpg,https://img3.doubanio.com/img/files/file-1609845567.png,Menphis,74
11026735,超能陆战队,2014 / 美国 / 喜剧 动作 科幻 动画 冒险 / 唐·霍尔 克里斯·威廉姆斯 / 斯科特·安第斯 瑞恩·波特,2014,8.8,4.5,1144044,好想戳爆胖子看会发生什么……,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2224568669.jpg,https://img9.doubanio.com/icon/up1458339-55.jpg,Bill,107
1298070,加勒比海盗,2003 / 美国 / 动作 奇幻 冒险 / 戈尔·维宾斯基 / 约翰尼·德普 杰弗里·拉什,2003,8.8,4.5,967011,我看了六遍.好不好已经和商业无关了.,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1596085504.jpg,https://img1.doubanio.com/icon/up2196238-38.jpg,嘉沐難再續.K,95
6307447,被解救的姜戈,2012 / 美国 / 剧情 动作 西部 冒险 / 昆汀·塔伦蒂诺 / 杰米·福克斯 莱昂纳多·迪卡普里奥,2012,8.8,4.5,692432,waltz魅力十足 却死的那么酱油。。。,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1800813767.jpg,https://img9.doubanio.com/icon/up3822288-44.jpg,sevenseas,144
1302467,黑客帝国3：矩阵革命,2003 / 美国 / 动作 科幻 / 拉娜·沃卓斯基 莉莉·沃卓斯基 / 基努·里维斯 劳伦斯·菲什伯恩,2003,8.8,4.5,497643,严重被低估的好片。我走到哪里都为它叫好平反。,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p443461818.jpg,https://img9.doubanio.com/icon/up1896669-75.jpg,花袭人,168
1291844,终结者2：审判日,1991 / 美国 法国 / 动作 科幻 / 詹姆斯·卡梅隆 / 阿诺·施瓦辛格 琳达·汉密尔顿,1991,8.8,4.5,386455,少见的超越首部的续集，动作片中的经典~~,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1910909085.jpg,https://img1.doubanio.com/icon/up1577739-80.jpg,战国客,219
1295409,纵横四海,1991 / 中国香港 / 剧情 喜剧 动作 犯罪 / 吴宇森 / 周润发 张国荣,1991,8.8,4.5,474024,香港影史最赞三人行,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2597918718.jpg,https://img3.doubanio.com/icon/up1418881-53.jpg,眠去,189
1300741,枪火,1999 / 中国香港 / 剧情 动作 犯罪 / 杜琪峰 / 吴镇宇 任达华,1999,8.8,4.5,264043,节奏最棒的香港电影,/proxy/img?url=https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1538646661.jpg,https://img3.doubanio.com/icon/up1094328-52.jpg,晨光荣耀,5
35327724,鬼灭之刃：柱众会议·蝶屋敷篇,2020 / 日本 / 动作 动画 奇幻 / 外崎春雄 / 花江夏树 鬼头明里,2020,8.8,4.5,19015,就想问你们ANIPLEX tv版到底能剪多少个版本？？？,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2632682629.jpg,https://img2.doubanio.com/icon/up42486476-21.jpg,猫叔和他的猫。,18
3726072,东邪西毒：终极版,2008 / 中国香港 中国大陆 中国台湾 / 剧情 动作 爱情 / 王家卫 / 张国荣 林青霞,2008,8.8,4.5,224748,"问世间情为何物,不过是相遇错过然后用一生去想念. ",/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p792502535.jpg,https://img1.doubanio.com/icon/up2393884-20.jpg,清水非非,
1293310,椿三十郎,1962 / 日本 / 剧情 喜剧 动作 惊悚 犯罪 / 黑泽明 / 三船敏郎 仲代达矢,1962,8.8,4.5,40440,黑泽明，集体照大师！,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2346574759.jpg,https://img9.doubanio.com/icon/up4416375-54.jpg,米粒,6
6311260,上海滩,1983 / 中国香港 / 剧情 动作 犯罪 / 招振强 / 周润发 吕良伟,1983,8.8,4.5,12987,确实是经典，赵雅芝的扮相实在是太漂亮了！,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2344833803.jpg,https://img1.doubanio.com/icon/up4701186-460.jpg,环境卫士小飞熊,
1292347,黑客帝国动画版,2003 / 美国 日本 / 剧情 动作 科幻 动画 / 郑根植 安德鲁·R·琼斯 川尻善昭 小池健 前田真宏 森本晃司 渡边信一郎 / 大塚明夫 克莱顿·华生,2003,8.8,4.5,52199,意义不亚于电影版,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2264262299.jpg,https://img1.doubanio.com/icon/up1327929-109.jpg,lomo36,4
1305697,桥,1969 / 南斯拉夫 / 动作 战争 / 哈伊鲁丁·克尔瓦瓦茨 / 韦利米尔·巴塔·日沃伊诺维奇 斯洛博丹·佩罗维奇,1969,8.8,4.5,26092,啊朋友再见啊朋友再见,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2576327873.jpg,https://img2.doubanio.com/icon/up1246009-81.jpg,瓦达西瓦又又又桑只爱这巧克力,
35014075,剧场版 假面骑士零一 真实×时间,2020 / 日本 / 剧情 动作 科幻 / 杉原辉昭 / 高桥文哉 冈田龙太郎,2020,8.8,4.5,3839,最后大决战有种杨过小龙女打金轮法王的即视感,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2919910746.jpg,https://img3.doubanio.com/icon/up141594826-3.jpg,周杰伦拥趸,
25850319,鲁邦三世：次元大介的墓碑,2014 / 日本 / 动作 动画 犯罪 / 小池健 / 栗田贯一 小林清志,2014,8.8,4.5,5010,第一部玩的推理梗..,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2183533520.jpg,https://img3.doubanio.com/icon/up4559199-67.jpg,Suito,
26873005,鲁邦三世：血烟的石川五右卫门,2017 / 日本 / 动作 动画 / 小池健 / 浪川大辅 栗田贯一,2017,8.8,4.5,4618,百慕大幽灵,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2402101415.jpg,https://img2.doubanio.com/icon/up1043499-101.jpg,Kaito,
5041025,赛文奥特曼 太阳的背叛,1998 / 日本 / 剧情 动作 科幻 / 高野敏幸 神澤信一 / 山崎勝之 南条弘二,1998,8.8,4.5,1312,信仰的问题,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2870304173.jpg,https://img3.doubanio.com/icon/up72820019-3.jpg,恐龙,
5041029,赛文奥特曼 约定的结果,1999 / 日本 / 剧情 动作 科幻 / 神澤信一 / 南条弘二 山崎勝之,1999,8.8,4.5,1458,我不会打开的，我还会回来的，比夕阳花的枯萎还要快。,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2510083660.jpg,https://img1.doubanio.com/icon/up139015254-20.jpg,颍原真吾,
1498721,野猪林,1962 / 中国大陆 中国香港 / 剧情 动作 戏曲 / 崔嵬 陈怀皑 / 李少春 袁世海,1962,8.8,4.5,1106,连龙套都很棒的经典京剧电影,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2687984033.jpg,https://img2.doubanio.com/icon/up1620542-11.jpg,脆皮起酥,
26391920,特搜战队刑事连者 10年之后,2015 / 日本 / 剧情 动作 科幻 悬疑 犯罪 奇幻 冒险 / 竹本升 / さいねい龍二 林刚史,2015,8.8,4.5,480,太圆满了，各种官方发糖，就是苦了铁连官配CP都没有,/proxy/img?url=https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2277247021.jpg,https://img3.doubanio.com/icon/up149152146-43.jpg,顗礼,
26366025,捷豹之约,2014 / 英国 / 动作 短片 / 汤姆·霍伯 / 汤姆·希德勒斯顿 本·金斯利,2014,8.8,4.5,191,这广告短片，也有豆瓣电影条目，我也是服了！~,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2903918193.jpg,https://img3.doubanio.com/icon/up55875308-2.jpg,我们在一九八四,
26424985,Storm Hits Jacket,2015 / 法国 / 动作 动画 短片 / Paul Cabon / Célia Asensio Tristan le Doze,2015,8.8,4.5,289,好美的精神状态,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2250168736.jpg,https://img9.doubanio.com/icon/up46752165-35.jpg,Lycidas,
5332663,剧场版 明日之丈2,1981 / 日本 / 剧情 动作 动画 / 出崎統 / 青井辉彦 藤冈重庆,1981,8.8,4.5,184,我が生涯に一片の悔いなし,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2533848467.jpg,https://img1.doubanio.com/icon/up4908749-10.jpg,sggggy,
35689244,F1：狂飙飞车,2025 / 美国 / 剧情 动作 运动 / 约瑟夫·科辛斯基 / 布拉德·皮特 戴姆森·伊德瑞斯,2025,8.7,4.5,509829,这种电影在时刻提醒世界，电影不能死,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2922238175.jpg,https://img1.doubanio.com/icon/up4453050-8.jpg,是王帅傅,5
36934908,因果报应,2024 / 印度 / 动作 悬疑 犯罪 / 尼蒂兰·萨米纳坦 / 维杰·西图帕提 阿努拉格·卡施亚普,2024,8.7,4.5,428704,别让陈思诚看到这部片！,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2915350868.jpg,https://img3.doubanio.com/icon/up174456957-13.jpg,momo,2
1292287,新龙门客栈,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装 / 李惠民 / 张曼玉 林青霞,1992,8.7,4.5,510690,当年看到最后把甄子丹的脚剃成骨头的时候我还吓了一跳,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1421018669.jpg,https://img9.doubanio.com/icon/up1359301-4.jpg,MaTown,222
3592854,疯狂的麦克斯4：狂暴之路,2015 / 澳大利亚 美国 / 动作 科幻 冒险 / 乔治·米勒 / 汤姆·哈迪 查理兹·塞隆,2015,8.7,4.5,619279,全程内心戏都是：【卧槽！还有这种操作！……】,/proxy/img?url=https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2236181653.jpg,https://img3.doubanio.com/icon/up47974911-23.jpg,L'automne,207
1304141,黑客帝国2：重装上阵,2003 / 美国 / 动作 科幻 / 拉娜·沃卓斯基 莉莉·沃卓斯基 / 基努·里维斯 劳伦斯·菲什伯恩,2003,8.7,4.5,456137,关于虚拟/现实的世界观让人叹为观止。,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p443461390.jpg,https://img3.doubanio.com/icon/up3540441-63.jpg,同志亦凡人中文站,236
2973079,霍比特人3：五军之战,2014 / 美国 新西兰 / 动作 奇幻 冒险 / 彼得·杰克逊 / 马丁·弗瑞曼 伊恩·麦克莱恩,2014,8.7,4.5,420907,再见，中土世界；再见，索林·橡木盾·葛朗台。,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2219406504.jpg,https://img9.doubanio.com/icon/up61212508-24.jpg,明安,16
1291824,黑鹰坠落,2001 / 美国 英国 / 动作 历史 战争 / 雷德利·斯科特 / 乔什·哈奈特 伊万·麦克格雷格,2001,8.7,4.5,317842,看过最棒的战争片,/proxy/img?url=https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1910900710.jpg,https://img3.doubanio.com/icon/up1744757-517.jpg,|,14
1308767,谍影重重2,2004 / 美国 德国 / 动作 悬疑 惊悚 / 保罗·格林格拉斯 / 马特·达蒙 布莱恩·考克斯,2004,8.7,4.5,400359,俄罗斯出租质量真好,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p667644866.jpg,https://img9.doubanio.com/icon/up2748328-194.jpg,Baristina,242
10756537,杀死比尔：整个血腥事件,2006 / 美国 / 动作 犯罪 / 昆汀·塔伦蒂诺 / 乌玛·瑟曼 刘玉玲,2006,8.7,4.5,55209,虽然节操掉一地，但是。。昆汀。。不解释！！！,/proxy/img?url=https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1557229084.jpg,https://img1.doubanio.com/icon/up3612130-138.jpg,张熊熊,16
